\ Text file in IPAC table format, read with astropy
\ from astropy.table import QTable
\ QTable.read('filename.tbl', format='ascii.ipac')
\ Instrument model exported from the Planck NPIPE instrument models
|bandpass_frequency|       bandpass_weight|
|            double|                double|
|               GHz|                      |
|              null|                  null|
              50.42    0.00078705454289985 
              51.04  0.0007209659934960458 
              51.66  0.0006814129980195267 
              52.29  0.0006163257902733558 
              52.91  0.0005141889411947493 
              53.53  0.0004000359922245421 
              54.15  0.0003004024972900191 
              54.78 0.00021228443141828014 
               55.4 0.00011315160731257385 
              56.02 6.0080499458003805e-05 
              56.64 5.0567753710486546e-05 
              57.27                    0.0 
              57.89                    0.0 
              58.51                    0.0 
              59.13                    0.0 
              59.76                    0.0 
              60.38                    0.0 
               61.0                    0.0 
              61.62                    0.0 
              62.25                    0.0 
              62.87                    0.0 
              63.49                    0.0 
              64.11                    0.0 
              64.74                    0.0 
              65.36                    0.0 
              65.98                    0.0 
               66.6                    0.0 
              67.23                    0.0 
              67.85                    0.0 
              68.47                    0.0 
              69.09                    0.0 
              69.72                    0.0 
              70.34                    0.0 
              70.96                    0.0 
              71.58                    0.0 
              72.21                    0.0 
              72.83                    0.0 
              73.45                    0.0 
              74.07  0.0002558427935253329 
               74.7  0.0009182303000498249 
              75.32  0.0016682352016172393 
              75.94  0.0020307208816805287 
              76.56   0.002002683315266794 
              77.19  0.0022450079964140756 
              77.81    0.00352422196404074 
              78.43   0.005545430099973752 
              79.05   0.006740531368359211 
              79.68   0.006747040089133828 
               80.3    0.00803576680250801 
              80.92   0.012956359708118523 
              81.54   0.020005804977857637 
              82.17   0.025472629757707164 
              82.79   0.028746015636510743 
              83.41   0.032683291034325254 
              84.03   0.039019781043829395 
              84.66    0.04580937815341264 
              85.28   0.049427225562442105 
               85.9   0.049072750615639885 
              86.52   0.047660858878376795 
              87.15    0.04752717976708273 
              87.77    0.04834627724302685 
              88.39    0.04924097601412229 
              89.01    0.04991537962053839 
              89.63    0.05006708288166985 
              90.26    0.04937064975878582 
              90.88    0.04817404647791391 
               91.5   0.047383987910041156 
              92.12     0.0469413948973672 
              92.75    0.04576281576633269 
              93.37   0.043293006567779915 
              93.99    0.04008921393418186 
              94.61    0.03759487186501707 
              95.24   0.036887423983899076 
              95.86    0.03738759414188696 
              96.48    0.03787975356661377 
               97.1    0.03823422851341599 
              97.73   0.038773450996051576 
              98.35    0.03904531525609904 
              98.97    0.03861473834331668 
              99.59    0.03791830522043266 
             100.22    0.03727444253457438 
             100.84    0.03632116527650739 
             101.46    0.03476758369468918 
             102.08    0.03263572730558767 
             102.71    0.02984098273913286 
             103.33   0.026238656125796716 
             103.95   0.022158188870940624 
             104.57   0.018310533551484296 
              105.2   0.015216387829397101 
             105.82   0.012735563872610357 
             106.44   0.010359880789875124 
             107.06   0.008027255398418127 
             107.69   0.006145734423724973 
             108.31    0.00488905064339506 
             108.93   0.003946287472733217 
             109.55  0.0030215484519087754 
             110.18   0.002159893955515237 
              110.8  0.0015465721902147816 
             111.42  0.0012316502388890782 
             112.04  0.0011099872274866205 
             112.67  0.0010308812365335822 
             113.29  0.0009087175543023077 
             113.91   0.000762021001459015 
             114.53  0.0006413593317141907 
             115.16  0.0005497365700407349 
             115.78  0.0004596158208537292 
              116.4 0.00036749238835145665 
             117.02  0.0002948951181730354 
             117.65 0.00025534212269651623 
             118.27 0.00023982132700319856 
             118.89 0.00023231126457094807 
             119.51  0.0002313099229133147 
             120.14 0.00023431394788621488 
             120.76 0.00023681730203029835 
             121.38 0.00023982132700319856 
              122.0 0.00024182401031846537 
             122.63 0.00023781864368793175 
             123.25  0.0002303085812556813 
             123.87  0.0002197944938505306 
             124.49 0.00020777839395892987 
             125.12  0.0001982656482114126 
             125.74 0.00018975424412152872 
             126.36 0.00017523479008584446 
             126.98  0.0001587126527348934 
             127.61 0.00014569521118565923 
             128.23 0.00013518112378050858 
             128.85 0.00012166301140245772 
             129.47 0.00010413953239387326 
              130.1  8.861873670055563e-05 
             130.72  7.960666178185506e-05 
             131.34  7.459995349368807e-05 
             131.96  7.009391603433779e-05 
             132.59  6.458653691735409e-05 
             133.21  5.807781614273702e-05 
             133.83 5.0567753710486546e-05 
             134.45  4.355836210705276e-05 
             135.07  4.055433713415257e-05 
              135.7 3.8050982990069086e-05 
             136.32   3.30442747019021e-05 
             136.94 2.6034883098468316e-05 
             137.56 2.0527503981484636e-05 
             138.19  1.852482066621784e-05 
             138.81 1.8024149837401146e-05 
             139.43 1.7022808179767748e-05 
             140.05 1.7523479008584447e-05 
             140.68 1.8024149837401146e-05 
              141.3  1.602146652213435e-05 
             141.92 1.3017441549234158e-05 
             142.54 1.2016099891600764e-05 
             143.17 1.3518112378050858e-05 
             143.79 1.5520795693317652e-05 
             144.41 1.5520795693317652e-05 
             145.03 1.4018783206867555e-05 
             145.66 1.4018783206867555e-05 
             146.28  1.652213735095105e-05 
              146.9  1.852482066621784e-05 
             147.52 1.8024149837401146e-05 
             148.15 1.8024149837401146e-05 
             148.77  1.952616232385124e-05 
             149.39 2.0026833152667937e-05 
