\ Text file in IPAC table format, read with astropy
\ from astropy.table import QTable
\ QTable.read('filename.tbl', format='ascii.ipac')
\ Instrument model exported from Lambda WMAP DR5
|bandpass_frequency|        bandpass_weight|
|            double|                 double|
|               GHz|                       |
|              null|                   null|
               50.0  1.9927523168277093e-05 
              50.12   2.688473148224487e-05 
              50.25  4.5887623886574004e-06 
              50.38  -1.754546552436246e-05 
               50.5    1.61903113401874e-05 
              50.62  4.6376657856001385e-06 
              50.75   7.142814272171034e-06 
              50.88  1.0562367672214053e-05 
               51.0   3.591987823486428e-05 
              51.12   9.396243666091478e-06 
              51.25 -3.3743726751508166e-07 
              51.38   2.120524329207821e-05 
               51.5    4.45121833467983e-05 
              51.62  1.0423888297596452e-06 
              51.75  3.0842887780117074e-05 
              51.88  0.00011091692405740101 
               52.0   0.0004727806118275682 
              52.12   0.0005303856155984779 
              52.25   0.0010102272337771678 
              52.38   0.0021981874411727822 
               52.5   0.0033759059476281992 
              52.62   0.0026645359248017265 
              52.75   0.0015529686085928723 
              52.88   0.0006223307939516939 
               53.0   0.0006103091603976597 
              53.12    0.002487157239758773 
              53.25    0.004222838326576018 
              53.38    0.002300977331275554 
               53.5   0.0009022917799670189 
              53.62   0.0018204347163120174 
              53.75    0.007538985752581416 
              53.88    0.018475724538073075 
               54.0    0.025844950987849925 
              54.12     0.03241388773912316 
              54.25     0.06332867823036666 
              54.38     0.08573280594307406 
               54.5     0.08584579100024033 
              54.62     0.10665213057889218 
              54.75     0.08751267054976967 
              54.88    0.048346976552510454 
               55.0    0.061456010063353286 
              55.12     0.12166661402522527 
              55.25     0.18608797277967695 
              55.38     0.17524445297535518 
               55.5     0.22542075250091737 
              55.62      0.2547069386755204 
              55.75     0.15200385746220654 
              55.88     0.06914174795346079 
               56.0      0.0755314092121746 
              56.12      0.1255201962201489 
              56.25     0.12878599897591136 
              56.38     0.10115904875896972 
               56.5     0.10772987921706466 
              56.62     0.14169747112002443 
              56.75     0.09258680019173482 
              56.88      0.0669151031508337 
               57.0     0.07484125674775488 
              57.12     0.08328375347963317 
              57.25     0.06256731691978976 
              57.38      0.0411905940602259 
               57.5     0.03850987885419506 
              57.62     0.05515110967704521 
              57.75     0.05750730761353682 
              57.88      0.0440378248838434 
               58.0     0.03772999446499413 
              58.12    0.052917583126928056 
              58.25     0.07111349215856824 
              58.38     0.06427951535618714 
               58.5      0.0504925764856957 
              58.62     0.06553982696055081 
              58.75     0.06670733978494744 
              58.88    0.048799563779960316 
               59.0      0.0338815788741587 
              59.12    0.034523946447615715 
              59.25     0.04969468418862226 
              59.38     0.06886364942599509 
               59.5     0.05318540673841596 
              59.62     0.04978178759425901 
              59.75     0.06804796146964248 
              59.88     0.07831475714509747 
               60.0     0.07639288196556794 
              60.12     0.08691638930258437 
              60.25     0.09219796020091699 
              60.38     0.06714500827693723 
               60.5       0.053642537231753 
              60.62     0.04708843239245498 
              60.75     0.05460516905434414 
              60.88     0.06510594589130005 
               61.0     0.06907722430047497 
              61.12     0.06872498167404376 
              61.25     0.09806579281036032 
              61.38     0.08151774353049678 
               61.5     0.06486613721684861 
              61.62     0.06397045060426855 
              61.75     0.06569888583062113 
